Andhra Pradesh    (Amaravati)
Bihar    (Patna)
Arunachal Pradesh    (Itanagar)
Assam    (Dispur)
Uttar Pradesh    (Lucknow)
Uttarakhand    (Dehradun) 
Chhattisgarh    (Raipur)
Tamil Nadu    (Chennai)  
Goa    (Panaji)
Odisha    (Bhubaneshwar)
Punjab    (Chandigarh) 
Gujarat    (Gandhinagar)
Telangana    (Hyderabad)
Rajasthan    (Jaipur)
Haryana    (Chandigarh)
Himachal Pradesh    (Shimla)
Jharkhand    (Ranchi)
Karnataka    (Bangalore)
Sikkim    (Gangtok)
Kerala    (Thiruvananthapuram)
Madhya Pradesh    (Bhopal)
Maharashtra    (Mumbai)
Telangana    (Hyderabad) 
Manipur    (Imphal)
West Bengal    (Kolkata)
Meghalaya    (Shillong)
Nagaland    (Kohima)
Tripura    (Agartala)    
Mizoram    (Aizawl)
